"Title","URL"
"Guardians of the Galaxy Vol. 2 (2017)","https://letterboxd.com/film/guardians-of-the-galaxy-vol-2/"
"Amélie (2001)","https://letterboxd.com/film/amelie/"
"A Clockwork Orange (1971)","https://letterboxd.com/film/a-clockwork-orange/"
"Tenet (2020)","https://letterboxd.com/film/tenet/"
"Jaws (1975)","https://letterboxd.com/film/jaws/"
"Clueless (1995)","https://letterboxd.com/film/clueless/"
"The Dark Knight Rises (2012)","https://letterboxd.com/film/the-dark-knight-rises/"
"Schindler's List (1993)","https://letterboxd.com/film/schindlers-list/"
"Harry Potter and the Deathly Hallows: Part 2 (2011)","https://letterboxd.com/film/harry-potter-and-the-deathly-hallows-part-2/"
"Reservoir Dogs (1992)","https://letterboxd.com/film/reservoir-dogs/"
"Psycho (1960)","https://letterboxd.com/film/psycho/"
"Juno (2007)","https://letterboxd.com/film/juno/"
"Companion (2025)","https://letterboxd.com/film/companion-2025/"
"Wonka (2023)","https://letterboxd.com/film/wonka/"
"Harry Potter and the Order of the Phoenix (2007)","https://letterboxd.com/film/harry-potter-and-the-order-of-the-phoenix/"
"Killers of the Flower Moon (2023)","https://letterboxd.com/film/killers-of-the-flower-moon/"
"The Lion King (1994)","https://letterboxd.com/film/the-lion-king/"
"The Nightmare Before Christmas (1993)","https://letterboxd.com/film/the-nightmare-before-christmas/"
"Shrek 2 (2004)","https://letterboxd.com/film/shrek-2/"
"John Wick (2014)","https://letterboxd.com/film/john-wick/"
"Blade Runner (1982)","https://letterboxd.com/film/blade-runner/"
"Perfect Blue (1997)","https://letterboxd.com/film/perfect-blue/"
"Scarface (1983)","https://letterboxd.com/film/scarface-1983/"
"Barbarian (2022)","https://letterboxd.com/film/barbarian-2022/"
"About Time (2013)","https://letterboxd.com/film/about-time/"
"The Virgin Suicides (1999)","https://letterboxd.com/film/the-virgin-suicides/"
"The Witch (2015)","https://letterboxd.com/film/the-witch-2015/"
"Captain America: The Winter Soldier (2014)","https://letterboxd.com/film/captain-america-the-winter-soldier/"
"There Will Be Blood (2007)","https://letterboxd.com/film/there-will-be-blood/"
"The Boy and the Heron (2023)","https://letterboxd.com/film/the-boy-and-the-heron/"
"Girl, Interrupted (1999)","https://letterboxd.com/film/girl-interrupted/"
"The Wild Robot (2024)","https://letterboxd.com/film/the-wild-robot/"
"Terminator 2: Judgment Day (1991)","https://letterboxd.com/film/terminator-2-judgment-day/"
"Megamind (2010)","https://letterboxd.com/film/megamind/"
"Good Time (2017)","https://letterboxd.com/film/good-time/"
"Bird Box (2018)","https://letterboxd.com/film/bird-box/"
"It's a Wonderful Life (1946)","https://letterboxd.com/film/its-a-wonderful-life/"
"Mysterious Skin (2004)","https://letterboxd.com/film/mysterious-skin/"
"John Wick: Chapter 3 – Parabellum (2019)","https://letterboxd.com/film/john-wick-chapter-3-parabellum/"
"The Holiday (2006)","https://letterboxd.com/film/the-holiday/"
"It Follows (2014)","https://letterboxd.com/film/it-follows/"
"Snowpiercer (2013)","https://letterboxd.com/film/snowpiercer/"
"The Twilight Saga: New Moon (2009)","https://letterboxd.com/film/the-twilight-saga-new-moon/"
"The Pursuit of Happyness (2006)","https://letterboxd.com/film/the-pursuit-of-happyness/"
"A Quiet Place Part II (2020)","https://letterboxd.com/film/a-quiet-place-part-ii/"
"Monkey Man (2024)","https://letterboxd.com/film/monkey-man/"
"Crazy Rich Asians (2018)","https://letterboxd.com/film/crazy-rich-asians/"
"Suspiria (1977)","https://letterboxd.com/film/suspiria/"
"Back to the Future Part II (1989)","https://letterboxd.com/film/back-to-the-future-part-ii/"
"The Fabelmans (2022)","https://letterboxd.com/film/the-fabelmans/"
"Three Billboards Outside Ebbing, Missouri (2017)","https://letterboxd.com/film/three-billboards-outside-ebbing-missouri/"
"Despicable Me (2010)","https://letterboxd.com/film/despicable-me/"
"Boyhood (2014)","https://letterboxd.com/film/boyhood/"
"The Secret Life of Walter Mitty (2013)","https://letterboxd.com/film/the-secret-life-of-walter-mitty-2013/"
"Ant-Man and the Wasp: Quantumania (2023)","https://letterboxd.com/film/ant-man-and-the-wasp-quantumania/"
"American History X (1998)","https://letterboxd.com/film/american-history-x/"
"M3GAN (2022)","https://letterboxd.com/film/m3gan/"
"The Phoenician Scheme (2025)","https://letterboxd.com/film/the-phoenician-scheme/"
"Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn) (2020)","https://letterboxd.com/film/birds-of-prey-and-the-fantabulous-emancipation-of-one-harley-quinn/"
"Elf (2003)","https://letterboxd.com/film/elf/"
"Eraserhead (1977)","https://letterboxd.com/film/eraserhead/"
"A Nightmare on Elm Street (1984)","https://letterboxd.com/film/a-nightmare-on-elm-street/"
"Ocean's Eight (2018)","https://letterboxd.com/film/oceans-eight/"
"Aladdin (1992)","https://letterboxd.com/film/aladdin/"
"Leave the World Behind (2023)","https://letterboxd.com/film/leave-the-world-behind-2023/"
"How the Grinch Stole Christmas (2000)","https://letterboxd.com/film/how-the-grinch-stole-christmas-2000/"
"Boogie Nights (1997)","https://letterboxd.com/film/boogie-nights/"
"Monsters University (2013)","https://letterboxd.com/film/monsters-university/"
"Groundhog Day (1993)","https://letterboxd.com/film/groundhog-day/"
"Fantastic Beasts and Where to Find Them (2016)","https://letterboxd.com/film/fantastic-beasts-and-where-to-find-them/"
"Beau Is Afraid (2023)","https://letterboxd.com/film/beau-is-afraid/"
"Matilda (1996)","https://letterboxd.com/film/matilda/"
"Heathers (1989)","https://letterboxd.com/film/heathers/"
"Casino (1995)","https://letterboxd.com/film/casino/"
"Ghostbusters (1984)","https://letterboxd.com/film/ghostbusters/"
"Singin' in the Rain (1952)","https://letterboxd.com/film/singin-in-the-rain/"
"Life of Pi (2012)","https://letterboxd.com/film/life-of-pi/"
"Possession (1981)","https://letterboxd.com/film/possession/"
"Mission: Impossible – The Final Reckoning (2025)","https://letterboxd.com/film/mission-impossible-the-final-reckoning/"
"The Cabin in the Woods (2011)","https://letterboxd.com/film/the-cabin-in-the-woods/"
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)","https://letterboxd.com/film/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb/"
"Evil Dead Rise (2023)","https://letterboxd.com/film/evil-dead-rise/"
"X-Men: Days of Future Past (2014)","https://letterboxd.com/film/x-men-days-of-future-past/"
"Home Alone 2: Lost in New York (1992)","https://letterboxd.com/film/home-alone-2-lost-in-new-york/"
"The Hobbit: An Unexpected Journey (2012)","https://letterboxd.com/film/the-hobbit-an-unexpected-journey/"
"Freaky Friday (2003)","https://letterboxd.com/film/freaky-friday-2003/"
"The Princess and the Frog (2009)","https://letterboxd.com/film/the-princess-and-the-frog/"
"Zoolander (2001)","https://letterboxd.com/film/zoolander/"
"Paddington (2014)","https://letterboxd.com/film/paddington/"
"Ice Age (2002)","https://letterboxd.com/film/ice-age/"
"Skyfall (2012)","https://letterboxd.com/film/skyfall/"
"Rosemary's Baby (1968)","https://letterboxd.com/film/rosemarys-baby/"
"Rise of the Planet of the Apes (2011)","https://letterboxd.com/film/rise-of-the-planet-of-the-apes/"
"Kinds of Kindness (2024)","https://letterboxd.com/film/kinds-of-kindness/"
"Madagascar (2005)","https://letterboxd.com/film/madagascar/"
"Suspiria (2018)","https://letterboxd.com/film/suspiria-2018/"
"Another Round (2020)","https://letterboxd.com/film/another-round/"
"The Emperor's New Groove (2000)","https://letterboxd.com/film/the-emperors-new-groove/"
"Finding Dory (2016)","https://letterboxd.com/film/finding-dory/"
"Casino Royale (2006)","https://letterboxd.com/film/casino-royale-2006/"
"The Idea of You (2024)","https://letterboxd.com/film/the-idea-of-you-2024/"
"Life Is Beautiful (1997)","https://letterboxd.com/film/life-is-beautiful/"
"Paprika (2006)","https://letterboxd.com/film/paprika-2006/"
"Dungeons & Dragons: Honor Among Thieves (2023)","https://letterboxd.com/film/dungeons-dragons-honor-among-thieves/"
"Crazy, Stupid, Love. (2011)","https://letterboxd.com/film/crazy-stupid-love/"
"The Zone of Interest (2023)","https://letterboxd.com/film/the-zone-of-interest/"
"The Suicide Squad (2021)","https://letterboxd.com/film/the-suicide-squad/"
"Civil War (2024)","https://letterboxd.com/film/civil-war-2024/"
"La Haine (1995)","https://letterboxd.com/film/la-haine/"
"The French Dispatch (2021)","https://letterboxd.com/film/the-french-dispatch/"
"Ex Machina (2015)","https://letterboxd.com/film/ex-machina-2015/"
"Apocalypse Now (1979)","https://letterboxd.com/film/apocalypse-now/"
"Black Widow (2021)","https://letterboxd.com/film/black-widow-2021/"
"Logan (2017)","https://letterboxd.com/film/logan-2017/"
"Thor: Love and Thunder (2022)","https://letterboxd.com/film/thor-love-and-thunder/"
"Encanto (2021)","https://letterboxd.com/film/encanto/"
"The Sixth Sense (1999)","https://letterboxd.com/film/the-sixth-sense/"
"I, Tonya (2017)","https://letterboxd.com/film/i-tonya/"
"Birdman or (The Unexpected Virtue of Ignorance) (2014)","https://letterboxd.com/film/birdman-or-the-unexpected-virtue-of-ignorance/"
