true,pred,count
gritty crime and ruthless gangsters,comedy,5
violent crime and drugs,comedy,5
sci-fi monster and dinosaur adventures,drama,5
war,action,5
action,crude humor and satire,5
intriguing and suspenseful murder mysteries,horror,5
adrenaline-fueled action and fast cars,epic heroes,5
violent action,epic heroes,5
guns,epic heroes,5
and crime,epic heroes,5
heartbreaking and moving family drama,romance,5
suspenseful crime thrillers,horror,5
relationship comedy,action,4
laugh-out-loud relationship entanglements,action,4
comedy,crime,4
gags,crime,4
jokes,crime,4
and slapstick humor,crime,4
the undead and monster classics,crime,4
gory,crime,4
gruesome,crime,4
and slasher horror,crime,4
holiday joy and heartwarming christmas,crude humor and satire,4
chilling experiments and classic monster horror,and supernatural horror,4
chilling experiments and classic monster horror,haunted,4
chilling experiments and classic monster horror,terrifying,4
sci-fi horror,and supernatural horror,4
sci-fi horror,haunted,4
sci-fi horror,terrifying,4
creatures,and supernatural horror,4
creatures,haunted,4
creatures,terrifying,4
and aliens,and supernatural horror,4
and aliens,haunted,4
and aliens,terrifying,4
science fiction,action-packed space and alien sagas,4
monsters,action-packed space and alien sagas,4
aliens,action-packed space and alien sagas,4
sci-fi and the apocalypse,action-packed space and alien sagas,4
sci-fi horror,action-packed space and alien sagas,4
creatures,action-packed space and alien sagas,4
and aliens,action-packed space and alien sagas,4
imaginative space odysseys and alien encounters,aliens,4
imaginative space odysseys and alien encounters,monsters,4
imaginative space odysseys and alien encounters,sci-fi and the apocalypse,4
chilling experiments and classic monster horror,thriller,4
terrifying,science fiction,4
haunted,science fiction,4
and supernatural horror,science fiction,4
drama,adventure,4
catchy songs and hilarious musical comedy,action,4
family,moving relationship stories,4
spooky,the undead and monster classics,4
scary comedy,the undead and monster classics,4
amusing jokes and witty satire,horror,4
crude humor and satire,laugh-out-loud relationship entanglements,4
amusing jokes and witty satire,romance,4
comedy,touching and sentimental family stories,4
quirky and endearing relationships,touching and sentimental family stories,4
action comedy and silly heroics,science fiction,4
westerns,crime,4
suspenseful crime thrillers,twisted dark psychological thriller,4
war,military combat and heroic soldiers,4
war,war and historical adventure,4
war and historical adventure,military combat and heroic soldiers,4
war and historical adventure,war and historical adventure,4
military combat and heroic soldiers,military combat and heroic soldiers,4
military combat and heroic soldiers,war and historical adventure,4
bravery in war,war,4
nazis and world war ii,military combat and heroic soldiers,4
nazis and world war ii,war and historical adventure,4
gripping,crime,4
intense violent crime,crime,4
student coming-of-age challenges,moving relationship stories,4
adventure,superheroes in action-packed battles with villains,4
drama,epic heroes,4
comedy,epic heroes,4
fantasy adventure,epic heroes,4
heroism,epic heroes,4
and swordplay,epic heroes,4
science fiction,romance,4
surreal and thought-provoking visions of life and death,moving relationship stories,4
holiday joy and heartwarming christmas,fantasy,4
adorable animals and heartwarming families,family,4
humanity and the world around us,romance,4
romance,laugh-out-loud relationship entanglements,4
teen school antics and laughter,romance,4
charming romances and delightful chemistry,laugh-out-loud relationship entanglements,4
historical battles and epic heroism,war,4
political drama,war,4
patriotism,war,4
and war,war,4
crime,drugs and gangsters,4
intense combat and martial arts,crime,4
superheroes in action-packed battles with villains,crime,4
twisted dark psychological thriller,action,4
comedy,underdogs and coming of age,4
underdogs and coming of age,underdogs and coming of age,4
crude humor and satire,underdogs and coming of age,4
teen school antics and laughter,underdogs and coming of age,4
funny jokes and crude humor,underdogs and coming of age,4
family,action,4
suspenseful crime thrillers,action,4
adrenaline-fueled action and fast cars,science fiction,4
the undead and monster classics,and terrifying horror,4
the undead and monster classics,chilling,4
the undead and monster classics,creepy,4
gothic and eerie haunting horror,and terrifying horror,4
gothic and eerie haunting horror,chilling,4
gothic and eerie haunting horror,creepy,4
gory,and terrifying horror,4
gory,chilling,4
gory,creepy,4
gruesome,and terrifying horror,4
gruesome,chilling,4
gruesome,creepy,4
and slasher horror,and terrifying horror,4
and slasher horror,chilling,4
and slasher horror,creepy,4
